Huvudsektor,Län,Kommun,2010,2011,2012,2013,2014,2015,2016,2017
Utrikes transporter,Södermanlands län,Vingåker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Södermanlands län,Gnesta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Södermanlands län,Nyköping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Södermanlands län,Oxelösund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Södermanlands län,Flen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Södermanlands län,Katrineholm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Södermanlands län,Eskilstuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Södermanlands län,Strängnäs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utrikes transporter,Södermanlands län,Trosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Västra Götalands län,Härryda,0.0,0.0,0.0,0.0,0.0,0.0,438.8978,343.1381
El och fjärrvärme,Västra Götalands län,Partille,1088.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Västra Götalands län,Öckerö,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Västra Götalands län,Stenungsund,38932.25,9169.775,19927.38,3530.733,3207.868,9011.679,504.1732,506.1192
El och fjärrvärme,Västra Götalands län,Tjörn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Västra Götalands län,Orust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Västra Götalands län,Sotenäs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Västra Götalands län,Munkedal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Västra Götalands län,Tanum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Västra Götalands län,Dals-Ed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Västra Götalands län,Färgelanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Västra Götalands län,Ale,2213.104,531.9976,404.3179,614.4563,369.738,130.3396,300.5782,202.1585
El och fjärrvärme,Västra Götalands län,Lerum,2112.064,545.8483,462.7856,737.212,241.6012,210.3804,313.1511,265.1343
El och fjärrvärme,Västra Götalands län,Vårgårda,1071.977,297.9182,462.8377,247.3783,207.4785,218.1184,321.8582,159.5996
El och fjärrvärme,Västra Götalands län,Bollebygd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Västra Götalands län,Grästorp,53.19976,90.43956,15.95996,90.43956,61.17963,117.0397,117.0397,109.0597
El och fjärrvärme,Västra Götalands län,Essunga,180.8795,77.13959,95.75955,0.0,0.0,0.0,0.0,7.979958
El och fjärrvärme,Västra Götalands län,Karlsborg,545.5661,522.1336,351.8061,237.1574,175.6785,73.28411,171.1059,100.3322
El och fjärrvärme,Västra Götalands län,Gullspång,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Västra Götalands län,Tranemo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Västra Götalands län,Bengtsfors,3054.822,2835.542,1401.816,755.436,111.7197,146.2996,154.2796,398.9979
El och fjärrvärme,Västra Götalands län,Mellerud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Västra Götalands län,Lilla Edet,71.81961,23.93984,45.21978,119.6997,21.27984,29.25982,45.21978,212.7984
El och fjärrvärme,Västra Götalands län,Mark,627.7563,210.1384,162.2596,319.1982,82.45958,401.6579,505.3976,239.3984
El och fjärrvärme,Västra Götalands län,Svenljunga,2699.883,1306.057,686.2762,662.3362,284.6182,502.7377,595.8374,555.9375
El och fjärrvärme,Västra Götalands län,Herrljunga,383.038,252.6983,273.9783,175.5595,268.6583,151.6196,101.0797,170.2396
El och fjärrvärme,Västra Götalands län,Vara,34.57986,34.57979,13.29997,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Västra Götalands län,Götene,2584.143,1311.146,1472.756,1728.685,1386.766,1376.996,2330.234,1330.466
El och fjärrvärme,Västra Götalands län,Tibro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Västra Götalands län,Töreboda,1215.617,603.8164,29.25982,55.85975,0.0,0.0,23.93984,2.659983
El och fjärrvärme,Västra Götalands län,Göteborg,863849.5,681445.8,522359.8,525266.6,355671.6,354510.1,539824.7,352636.9
El och fjärrvärme,Västra Götalands län,Mölndal,56109.75,29286.72,47867.07,38674.6,9181.485,5563.725,18428.05,8320.358
El och fjärrvärme,Västra Götalands län,Kungälv,97.68884,102.0857,80.80539,23.93984,18.61995,18.61995,18.61995,37.2398
El och fjärrvärme,Västra Götalands län,Lysekil,657.0163,111.7197,186.1995,3029.722,93.09955,18.61995,438.8978,1518.856
El och fjärrvärme,Västra Götalands län,Uddevalla,51535.56,41839.79,41329.19,43050.39,37234.9,40648.99,43735.58,47153.37
El och fjärrvärme,Västra Götalands län,Strömstad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El och fjärrvärme,Västra Götalands län,Vänersborg,5484.895,2992.482,856.5157,58.51974,13.29996,23.93984,101.0797,79.79958
El och fjärrvärme,Västra Götalands län,Trollhättan,20380.49,7778.629,960.2547,803.3154,1154.434,742.1359,1202.315,1008.136
El och fjärrvärme,Västra Götalands län,Alingsås,8679.537,1941.795,837.8958,188.8595,15.95996,42.55978,641.0563,69.15961
El och fjärrvärme,Västra Götalands län,Borås,80298.99,54412.66,53746.86,51618.26,43157.58,44202.48,43891.08,44513.08
El och fjärrvärme,Västra Götalands län,Ulricehamn,53.19976,39.89979,55.85975,15.95996,26.59983,23.93984,13.29996,18.61995
El och fjärrvärme,Västra Götalands län,Åmål,3383.501,864.4957,582.5374,986.8544,273.9783,255.3583,433.5778,433.5778
El och fjärrvärme,Västra Götalands län,Mariestad,29104.12,21242.44,24054.54,20464.25,17161.95,11068.67,11518.17,7925.389
El och fjärrvärme,Västra Götalands län,Lidköping,58047.24,44669.68,44178.78,49236.07,51839.46,52074.96,49849.77,46974.27
El och fjärrvärme,Västra Götalands län,Skara,2447.183,651.6962,582.5374,470.8177,109.0597,287.2782,186.1995,74.4796
El och fjärrvärme,Västra Götalands län,Skövde,35949.6,36685.6,41405.79,39951.09,26239.13,24194.74,27178.53,22595.54
El och fjärrvärme,Västra Götalands län,Hjo,1715.695,944.2954,1034.737,880.4556,47.87977,87.77956,53.19976,61.17963
El och fjärrvärme,Västra Götalands län,Tidaholm,1087.937,2569.853,2772.303,3027.542,3479.611,3185.772,4451.748,5613.015
El och fjärrvärme,Västra Götalands län,Falköping,2433.883,1580.036,412.2979,93.09955,0.0,0.0,0.0,0.0
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Härryda,8444.629,7016.753,5527.761,4954.896,5159.088,4563.382,4350.793,3840.642
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Partille,3946.055,3098.644,2511.037,2267.603,2262.818,2033.334,1857.547,1684.508
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Öckerö,7297.895,5984.235,4712.365,4198.809,4354.077,3862.006,3602.406,3176.989
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Stenungsund,8241.638,6895.618,5411.013,4846.114,5074.783,4478.806,4294.521,3778.787
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Tjörn,7818.286,6248.857,5080.006,4604.95,4603.846,4135.774,3843.381,3480.031
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Orust,9204.344,7618.872,6086.562,5495.093,5639.396,5015.995,4788.934,4266.924
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Sotenäs,8553.488,7230.999,5579.286,4943.219,5274.117,4626.806,4422.977,3837.065
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Munkedal,7782.871,6350.696,5132.435,4644.263,4693.564,4202.091,3956.694,3554.053
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Tanum,10824.35,8855.584,7137.13,6458.193,6550.429,5854.012,5535.432,4965.055
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Dals-Ed,2015.521,1518.788,1423.98,1255.836,1117.4,1065.648,982.747,961.7554
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Färgelanda,2016.283,1542.793,1463.145,1326.753,1171.391,1116.664,1061.257,1043.46
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Ale,3657.395,2671.743,2507.291,2239.708,1961.812,1878.638,1680.01,1661.892
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Lerum,5185.563,3796.022,3528.929,3069.792,2727.573,2604.849,2314.916,2271.597
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Vårgårda,2778.199,2140.812,2030.692,1837.468,1626.243,1549.682,1479.837,1452.035
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Bollebygd,2234.866,1721.513,1611.64,1405.193,1265.497,1203.319,1131.771,1098.932
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Grästorp,1748.139,1370.038,1299.699,1170.632,1043.697,992.4066,963.1588,940.792
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Essunga,1818.998,1410.9,1345.569,1233.744,1087.829,1036.356,1002.806,986.3124
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Karlsborg,1613.814,1237.531,1154.374,997.2651,900.6941,856.4818,798.1593,773.5907
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Gullspång,1752.363,1362.826,1275.037,1106.025,1001.14,950.8955,901.2108,872.1015
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Tranemo,3113.825,2355.372,2218.914,1982.362,1756.57,1674.888,1563.097,1534.187
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Bengtsfors,4377.553,3210.598,3009.111,2672.969,2348.426,2248.493,2010.413,1983.574
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Mellerud,3066.87,2385.35,2247.207,1988.785,1783.275,1695.663,1620.274,1577.037
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Lilla Edet,2892.09,2178.075,2034.515,1775.073,1586.7,1512.657,1386.492,1352.785
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Mark,8419.212,6353.514,5980.977,5335.55,4726.959,4508.379,4192.112,4114.898
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Svenljunga,3348.209,2565.444,2417.469,2152.306,1917.296,1825.582,1724.408,1686.335
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Herrljunga,3070.907,2384.237,2250.852,2005.094,1791.566,1704.394,1630.159,1590.176
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Vara,4944.083,3888.766,3694.737,3338.534,2975.33,2828.485,2758.874,2695.412
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Götene,5234.173,4138.008,3833.542,3207.945,2965.461,2808.611,2662.049,2540.305
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Tibro,2128.045,1616.316,1511.309,1319.222,1182.523,1126.032,1043.564,1016.543
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Töreboda,2620.281,2024.863,1911.189,1704.84,1521.106,1447.278,1380.431,1348.391
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Göteborg,41379.01,34683.36,26808.37,23793.66,25296.59,22203.34,21177.04,18438.81
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Mölndal,8542.401,6952.154,5525.289,4963.32,5096.055,4530.355,4253.958,3788.369
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Kungälv,9583.658,7814.298,6315.67,5736.912,5802.721,5185.86,4928.422,4438.078
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Lysekil,9192.072,7464.779,5977.012,5367.905,5463.17,4880.472,4539.008,4052.17
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Uddevalla,11591.2,9674.765,7648.997,6883.804,7153.607,6329.603,6086.677,5386.539
Egen uppvärmning av bostäder och lokaler,Västra Götalands län,Strömstad,8112.793,6591.976,5287.489,4763.073,4842.831,4324.854,4047.549,3621.678
